# Constructed from biom file
#OTU ID	SRR11851974	SRR11851975	SRR11851978	SRR11851989	SRR11852000	SRR11852011	SRR11852022	SRR11852033	SRR11852036	SRR11852037	SRR11852038	SRR11852039	SRR11852040	SRR11852041	SRR11852042	SRR11852043	SRR11852044	SRR11852045
5e77b71b1c74acb1baba159e707a9dab	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2f38c65ab5939ade663519935b365465	0.0	0.0	97.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b931291e8720d20c32333a5a8df1affe	7.0	0.0	8.0	30.0	11.0	16.0	11.0	18.0	18.0	22.0	0.0	20.0	18.0	16.0	14.0	32.0	14.0	0.0
4e8839787c4aec65807c75c424325230	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8b78c8b0b8e2a20fb14fedeef28f6e11	0.0	0.0	0.0	0.0	12.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	15.0	9.0	0.0	0.0	0.0	0.0
7ad5bc664d65b054eeb53905f7738a9a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0c0aa688829ce67e0337d44eef83d936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0
a241a07529af6aff2dd3d9038b4adbb1	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44b2c9f7bf25d3104757d1fa1ce82dbb	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
be85985f3b7666d872ff9f14b8d059e0	0.0	16.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
270a290e01798e4bdeae375dcd324bd7	0.0	0.0	9.0	0.0	0.0	12.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bf2fc4a43ec155b1e8bbb9d93b02e233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
4ee7d1fca617da0ee4922afe0535e385	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
