# Constructed from biom file
#OTU ID	SRR11852016	SRR11852017	SRR11852018	SRR11852019	SRR11852020	SRR11852021	SRR11852023	SRR11852024	SRR11852025	SRR11852026	SRR11852027	SRR11852028	SRR11852029	SRR11852030	SRR11852032	SRR11852034	SRR11852035
866375efce8f10ff93938d296c72ae16	0.0	0.0	0.0	0.0	52.0	54.0	60.0	0.0	0.0	60.0	52.0	88.0	69.0	99.0	0.0	0.0	34.0
e2d3d6898761adaf6a01458fb059ae9c	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
1e78a690854ff201f5e7181e195edd5a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
18daca398bf87c0f14cdcd74cd817f4b	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ee3d88c6ccf6d1c4f14a918eb033de29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
9bcb76788f090ad5e582a35db083afa8	62.0	40.0	42.0	79.0	43.0	48.0	42.0	39.0	63.0	0.0	39.0	24.0	22.0	17.0	0.0	15.0	15.0
0ac5bd885bfc9e7fadd2e4d95d6a0161	0.0	34.0	26.0	25.0	0.0	23.0	0.0	35.0	0.0	0.0	0.0	25.0	24.0	25.0	22.0	12.0	0.0
06bc6baa720eb05f5fb3f66c8751abf9	126.0	147.0	144.0	141.0	141.0	128.0	122.0	152.0	137.0	74.0	57.0	124.0	53.0	108.0	56.0	43.0	32.0
9204ec0fbdc42e22dda1c2ed1fbd6c5b	104.0	103.0	97.0	103.0	94.0	97.0	0.0	85.0	89.0	67.0	71.0	0.0	0.0	70.0	58.0	49.0	0.0
5653c008c6df24e2bffc905e6f2c8a37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0
