# Constructed from biom file
#OTU ID	SRR23373543	SRR23373544	SRR23373545	SRR23373546	SRR23373547	SRR23373548	SRR23373555	SRR23373566	SRR23373575	SRR23373576	SRR23373577	SRR23373578
8dad047cb6374c9c0f872f5c36dcfea1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0
37399ce425a861574b66c4db5045f8ff	30.0	40.0	41.0	28.0	18.0	46.0	24.0	30.0	36.0	29.0	29.0	42.0
999dbd5384f5a0cd4f5dc4a67999a9b3	18.0	11.0	0.0	25.0	21.0	32.0	0.0	0.0	16.0	14.0	23.0	23.0
66484d3ffeb593b488510b7c8ad756c0	0.0	18.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0
2ce43d50fabd54f268e60033bd31356b	0.0	0.0	0.0	8.0	8.0	10.0	0.0	0.0	0.0	0.0	0.0	21.0
37a61e07b02a273a9e30ce8626f3bffd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
2c64815a0d5126e4b5869b596f3106c3	0.0	28.0	0.0	32.0	27.0	23.0	30.0	38.0	31.0	30.0	22.0	30.0
10addb959b7358082ebfaf39922c8c4c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0
3343b3bce162e67d6529966de3acd9ef	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
0356b8bf9fd15d2b45124228f1e8a464	0.0	0.0	9.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
71901134be654c5a3adef7fa7a5fb2b4	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
803a8888ae860b8ebdc6d1311d048d6a	0.0	15.0	7.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0
7390ee520df787315776a3a5135fd8b1	0.0	0.0	0.0	13.0	22.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0
c5a0119e43a6815b2e4c2bfaee0722ac	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aa6b16aba1fb6954b9f405859b318d24	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0
64065716ed1572ed3c9c590847f2ca6c	67.0	95.0	95.0	152.0	104.0	101.0	78.0	116.0	101.0	110.0	95.0	62.0
233156ace5b813398cbbe263e3cf3e0c	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0
a04042f03efd20aebc4de8d7c99a8086	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6aff3d406845cf6693a331871f2d0e60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
34da918492e2f0b10e29812544aa796e	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
b213828817e11e35905e80e11572c644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
e4d31edb602d7693199c462bfdae7c97	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
6e62bc598767397f8b0280ca6fd9881a	5.0	12.0	16.0	8.0	18.0	14.0	13.0	14.0	17.0	21.0	16.0	15.0
3dad32ed217c7e85b0b634a62a80b699	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b80675e8b7e4356d99e85ebb11c91206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0
5a66ca5f05f4fb6ac030d79c2814714f	0.0	0.0	0.0	0.0	0.0	14.0	0.0	9.0	13.0	0.0	10.0	0.0
83c42a4c86d98299bfca18d9477db666	16.0	20.0	29.0	23.0	17.0	20.0	11.0	15.0	15.0	19.0	19.0	24.0
30f585ed28d83a6398636e5e8de7540f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0
bde781e5975309d57d3334293bd220be	18.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0
61bb408196eb21f46ead6e85557d3ac5	0.0	0.0	0.0	4.0	0.0	0.0	0.0	6.0	0.0	5.0	0.0	0.0
574bc5919e8dc5066e35a29bf418e08b	8.0	0.0	11.0	13.0	0.0	13.0	4.0	8.0	13.0	20.0	16.0	0.0
db486780e153709791665d06414a30d4	0.0	0.0	8.0	0.0	0.0	15.0	8.0	15.0	6.0	0.0	8.0	8.0
9521441267110608dcfee9d257b7b345	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9adfde0fc20610c582fd736a1d9d1667	0.0	6.0	0.0	0.0	0.0	6.0	0.0	9.0	0.0	10.0	11.0	9.0
05f8caac9a40d1e8eff17a0130b31b36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
380a71542a98c4bef2605836d705d81c	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79bca941c06f34014c62731d6ed31742	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f36e20de3f5be5f26cf3af85351b6c0b	0.0	23.0	0.0	16.0	14.0	0.0	17.0	24.0	0.0	0.0	0.0	0.0
